Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-87.49971505,0,0,-65,0,-65,0,0
0.1,-87.49971559,0,0,-65,0,-65,0,0
0.2,-87.49971613,0,0,-65,0,-65,0,0
0.3,-87.49971667,0,0,-65,0,-65,0,0
0.4,-87.4997172,0,0,-65,0,-65,0,0
0.5,-87.49971774,0,0,-65,0,-65,0,0
0.6,-87.49971828,0,0,-65,0,-65,0,0
0.7,-87.49971881,0,0,-65,0,-65,0,0
0.8,-87.49971935,0,0,-65,0,-65,0,0
0.9,-87.49971988,0,0,-65,0,-65,0,0
1,-87.49972041,0,0,-65,0,-65,0,0
1.1,-87.49972094,0,0,-65,0,-65,0,0
1.2,-87.49972147,0,0,-65,0,-65,0,0
1.3,-87.499722,0,0,-65,0,-65,0,0
1.4,-87.49972253,0,0,-65,0,-65,0,0
1.5,-87.49972306,0,0,-65,0,-65,0,0
1.6,-87.49972358,0,0,-65,0,-65,0,0
1.7,-87.49972411,0,0,-65,0,-65,0,0
1.8,-87.49972463,0,0,-65,0,-65,0,0
1.9,-87.49972515,0,0,-65,0,-65,0,0
2,-87.49972568,0,0,-65,0,-65,0,0
2.1,-87.4997262,0,0,-65,0,-65,0,0
2.2,-87.49972672,0,0,-65,0,-65,0,0
2.3,-87.49972724,0,0,-65,0,-65,0,0
2.4,-87.49972775,0,0,-65,0,-65,0,0
2.5,-87.49972827,0,0,-65,0,-65,0,0
2.6,-87.49972879,0,0,-65,0,-65,0,0
2.7,-87.4997293,0,0,-65,0,-65,0,0
2.8,-87.49972982,0,0,-65,0,-65,0,0
2.9,-87.49973033,0,0,-65,0,-65,0,0
3,-87.49973084,0,0,-65,0,-65,0,0
3.1,-87.49973135,0,0,-65,0,-65,0,0
3.2,-87.49973186,0,0,-65,0,-65,0,0
3.3,-87.49973237,0,0,-65,0,-65,0,0
3.4,-87.49973288,0,0,-65,0,-65,0,0
3.5,-87.49973339,0,0,-65,0,-65,0,0
3.6,-87.49973389,0,0,-65,0,-65,0,0
3.7,-87.4997344,0,0,-65,0,-65,0,0
3.8,-87.4997349,0,0,-65,0,-65,0,0
3.9,-87.49973541,0,0,-65,0,-65,0,0
4,-87.49973591,0,0,-65,0,-65,0,0
4.1,-87.49973641,0,0,-65,0,-65,0,0
4.2,-87.49973691,0,0,-65,0,-65,0,0
4.3,-87.49973741,0,0,-65,0,-65,0,0
4.4,-87.49973791,0,0,-65,0,-65,0,0
4.5,-87.49973841,0,0,-65,0,-65,0,0
4.6,-87.49973891,0,0,-65,0,-65,0,0
4.7,-87.4997394,0,0,-65,0,-65,0,0
4.8,-87.4997399,0,0,-65,0,-65,0,0
4.9,-87.49974039,0,0,-65,0,-65,0,0
5,-87.49974088,0,0,-65,0,-65,0,0
5.1,-87.49974138,0,0,-65,0,-65,0,0
5.2,-87.49974187,0,0,-65,0,-65,0,0
5.3,-87.49974236,0,0,-65,0,-65,0,0
5.4,-87.49974285,0,0,-65,0,-65,0,0
5.5,-87.49974334,0,0,-65,0,-65,0,0
5.6,-87.49974382,0,0,-65,0,-65,0,0
5.7,-87.49974431,0,0,-65,0,-65,0,0
5.8,-87.49974479,0,0,-65,0,-65,0,0
5.9,-87.49974528,0,0,-65,0,-65,0,0
6,-87.49974576,0,0,-65,0,-65,0,0
6.1,-87.49974625,0,0,-65,0,-65,0,0
6.2,-87.49974673,0,0,-65,0,-65,0,0
6.3,-87.49974721,0,0,-65,0,-65,0,0
6.4,-87.49974769,0,0,-65,0,-65,0,0
6.5,-87.49974817,0,0,-65,0,-65,0,0
6.6,-87.49974865,0,0,-65,0,-65,0,0
6.7,-87.49974912,0,0,-65,0,-65,0,0
6.8,-87.4997496,0,0,-65,0,-65,0,0
6.9,-87.49975008,0,0,-65,0,-65,0,0
7,-87.49975055,0,0,-65,0,-65,0,0
7.1,-87.49975102,0,0,-65,0,-65,0,0
7.2,-87.4997515,0,0,-65,0,-65,0,0
7.3,-87.49975197,0,0,-65,0,-65,0,0
7.4,-87.49975244,0,0,-65,0,-65,0,0
7.5,-87.49975291,0,0,-65,0,-65,0,0
7.6,-87.49975338,0,0,-65,0,-65,0,0
7.7,-87.49975385,0,0,-65,0,-65,0,0
7.8,-87.49975432,0,0,-65,0,-65,0,0
7.9,-87.49975478,0,0,-65,0,-65,0,0
8,-87.49975525,0,0,-65,0,-65,0,0
8.1,-87.49975571,0,0,-65,0,-65,0,0
8.2,-87.49975618,0,0,-65,0,-65,0,0
8.3,-87.49975664,0,0,-65,0,-65,0,0
8.4,-87.4997571,0,0,-65,0,-65,0,0
8.5,-87.49975756,0,0,-65,0,-65,0,0
8.6,-87.49975802,0,0,-65,0,-65,0,0
8.7,-87.49975848,0,0,-65,0,-65,0,0
8.8,-87.49975894,0,0,-65,0,-65,0,0
8.9,-87.4997594,0,0,-65,0,-65,0,0
9,-87.49975986,0,0,-65,0,-65,0,0
9.1,-87.49976031,0,0,-65,0,-65,0,0
9.2,-87.49976077,0,0,-65,0,-65,0,0
9.3,-87.49976122,0,0,-65,0,-65,0,0
9.4,-87.49976168,0,0,-65,0,-65,0,0
9.5,-87.49976213,0,0,-65,0,-65,0,0
9.6,-87.49976258,0,0,-65,0,-65,0,0
9.7,-87.49976303,0,0,-65,0,-65,0,0
9.8,-87.49976348,0,0,-65,0,-65,0,0
9.9,-87.49976393,0,0,-65,0,-65,0,0
10,-87.49976438,0,0,-65,0,-65,0,0
10.1,-87.49976483,0,0,-65,0,-65,0,0
10.2,-87.49976527,0,0,-65,0,-65,0,0
10.3,-87.49976572,0,0,-65,0,-65,0,0
10.4,-87.49976616,0,0,-65,0,-65,0,0
10.5,-87.49976661,0,0,-65,0,-65,0,0
10.6,-87.49976705,0,0,-65,0,-65,0,0
10.7,-87.49976749,0,0,-65,0,-65,0,0
10.8,-87.49976794,0,0,-65,0,-65,0,0
10.9,-87.49976838,0,0,-65,0,-65,0,0
11,-87.49976882,0,0,-65,0,-65,0,0
11.1,-87.49976926,0,0,-65,0,-65,0,0
11.2,-87.49976969,0,0,-65,0,-65,0,0
11.3,-87.49977013,0,0,-65,0,-65,0,0
11.4,-87.49977057,0,0,-65,0,-65,0,0
11.5,-87.499771,10,10,-65,0,-65,0,0
11.6,-86.49977144,10,10,-65,0,-65,0,0
11.7,-85.69575004,10,10,-65,0,-65,0,0
11.8,-85.04347753,10,10,-65,0,-65,0,0
11.9,-84.51049385,10,10,-65,0,-65,0,0
12,-84.07243684,10,10,-65,0,-65,0,0
12.1,-83.71067894,10,10,-65,0,-65,0,0
12.2,-83.41075432,10,10,-65,0,-65,0,0
