Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-70.22600075,0,0,-65,0,-65,0,0
0.1,-70.22540378,0,0,-65,0,-65,0,0
0.2,-70.22480835,0,0,-65,0,-65,0,0
0.3,-70.22421446,0,0,-65,0,-65,0,0
0.4,-70.22362211,0,0,-65,0,-65,0,0
0.5,-70.22303129,0,0,-65,0,-65,0,0
0.6,-70.22244201,0,0,-65,0,-65,0,0
0.7,-70.22185425,0,0,-65,0,-65,0,0
0.8,-70.22126801,0,0,-65,0,-65,0,0
0.9,-70.2206833,0,0,-65,0,-65,0,0
1,-70.22010009,0,0,-65,0,-65,0,0
1.1,-70.2195184,0,0,-65,0,-65,0,0
1.2,-70.21893822,0,0,-65,0,-65,0,0
1.3,-70.21835954,0,0,-65,0,-65,0,0
1.4,-70.21778236,0,0,-65,0,-65,0,0
1.5,-70.21720667,0,0,-65,0,-65,0,0
1.6,-70.21663248,0,0,-65,0,-65,0,0
1.7,-70.21605978,0,0,-65,0,-65,0,0
1.8,-70.21548856,0,0,-65,0,-65,0,0
1.9,-70.21491882,0,0,-65,0,-65,0,0
2,-70.21435056,0,0,-65,0,-65,0,0
2.1,-70.21378378,0,0,-65,0,-65,0,0
2.2,-70.21321846,0,0,-65,0,-65,0,0
2.3,-70.21265462,0,0,-65,0,-65,0,0
2.4,-70.21209223,0,0,-65,0,-65,0,0
2.5,-70.21153131,0,0,-65,0,-65,0,0
2.6,-70.21097184,0,0,-65,0,-65,0,0
2.7,-70.21041382,0,0,-65,0,-65,0,0
2.8,-70.20985725,0,0,-65,0,-65,0,0
2.9,-70.20930212,0,0,-65,0,-65,0,0
3,-70.20874844,0,0,-65,0,-65,0,0
3.1,-70.20819619,0,0,-65,0,-65,0,0
3.2,-70.20764538,0,0,-65,0,-65,0,0
3.3,-70.207096,0,0,-65,0,-65,0,0
3.4,-70.20654805,0,0,-65,0,-65,0,0
3.5,-70.20600152,0,0,-65,0,-65,0,0
3.6,-70.2054564,0,0,-65,0,-65,0,0
