Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-70.93600463,0,0,-65,0,-65,0,0
0.1,-70.93367187,0,0,-65,0,-65,0,0
0.2,-70.93134451,0,0,-65,0,-65,0,0
0.3,-70.92902254,0,0,-65,0,-65,0,0
0.4,-70.92670595,0,0,-65,0,-65,0,0
0.5,-70.92439473,0,0,-65,0,-65,0,0
0.6,-70.92208887,0,0,-65,0,-65,0,0
0.7,-70.91978835,0,0,-65,0,-65,0,0
0.8,-70.91749318,0,0,-65,0,-65,0,0
0.9,-70.91520332,0,0,-65,0,-65,0,0
1,-70.91291879,0,0,-65,0,-65,0,0
1.1,-70.91063956,0,0,-65,0,-65,0,0
1.2,-70.90836562,0,0,-65,0,-65,0,0
1.3,-70.90609697,0,0,-65,0,-65,0,0
1.4,-70.90383359,0,0,-65,0,-65,0,0
1.5,-70.90157547,0,0,-65,0,-65,0,0
1.6,-70.8993226,0,0,-65,0,-65,0,0
1.7,-70.89707498,0,0,-65,0,-65,0,0
1.8,-70.89483259,0,0,-65,0,-65,0,0
1.9,-70.89259542,0,0,-65,0,-65,0,0
2,-70.89036346,0,0,-65,0,-65,0,0
2.1,-70.88813669,0,0,-65,0,-65,0,0
2.2,-70.88591512,0,0,-65,0,-65,0,0
2.3,-70.88369873,0,0,-65,0,-65,0,0
2.4,-70.8814875,0,0,-65,0,-65,0,0
2.5,-70.87928144,0,0,-65,0,-65,0,0
2.6,-70.87708052,0,0,-65,0,-65,0,0
2.7,-70.87488474,0,0,-65,0,-65,0,0
2.8,-70.87269408,0,0,-65,0,-65,0,0
2.9,-70.87050854,0,0,-65,0,-65,0,0
3,-70.86832811,0,0,-65,0,-65,0,0
3.1,-70.86615278,0,0,-65,0,-65,0,0
3.2,-70.86398253,0,0,-65,0,-65,0,0
3.3,-70.86181735,0,0,-65,0,-65,0,0
3.4,-70.85965724,0,0,-65,0,-65,0,0
3.5,-70.85750219,0,0,-65,0,-65,0,0
3.6,-70.85535218,0,0,-65,0,-65,0,0
3.7,-70.8532072,0,0,-65,0,-65,0,0
3.8,-70.85106725,0,0,-65,0,-65,0,0
3.9,-70.84893231,0,0,-65,0,-65,0,0
4,-70.84680238,0,0,-65,0,-65,0,0
4.1,-70.84467744,0,0,-65,0,-65,0,0
4.2,-70.84255748,0,0,-65,0,-65,0,0
4.3,-70.8404425,0,0,-65,0,-65,0,0
4.4,-70.83833248,0,0,-65,0,-65,0,0
4.5,-70.83622741,0,0,-65,0,-65,0,0
4.6,-70.83412729,0,0,-65,0,-65,0,0
4.7,-70.8320321,0,0,-65,0,-65,0,0
4.8,-70.82994183,0,0,-65,0,-65,0,0
4.9,-70.82785648,0,0,-65,0,-65,0,0
5,-70.82577602,0,0,-65,0,-65,0,0
5.1,-70.82370046,0,0,-65,0,-65,0,0
5.2,-70.82162979,0,0,-65,0,-65,0,0
5.3,-70.81956398,0,0,-65,0,-65,0,0
5.4,-70.81750304,0,0,-65,0,-65,0,0
5.5,-70.81544695,0,0,-65,0,-65,0,0
5.6,-70.8133957,0,0,-65,0,-65,0,0
5.7,-70.81134929,0,0,-65,0,-65,0,0
5.8,-70.8093077,0,0,-65,0,-65,0,0
5.9,-70.80727092,0,0,-65,0,-65,0,0
6,-70.80523895,0,0,-65,0,-65,0,0
6.1,-70.80321177,0,0,-65,0,-65,0,0
6.2,-70.80118937,0,0,-65,0,-65,0,0
6.3,-70.79917174,0,0,-65,0,-65,0,0
6.4,-70.79715888,0,0,-65,0,-65,0,0
6.5,-70.79515077,0,0,-65,0,-65,0,0
6.6,-70.79314741,0,0,-65,0,-65,0,0
6.7,-70.79114878,0,0,-65,0,-65,0,0
6.8,-70.78915488,0,0,-65,0,-65,0,0
6.9,-70.78716569,0,0,-65,0,-65,0,0
7,-70.7851812,0,0,-65,0,-65,0,0
7.1,-70.78320141,0,0,-65,0,-65,0,0
7.2,-70.78122631,0,0,-65,0,-65,0,0
7.3,-70.77925588,0,0,-65,0,-65,0,0
7.4,-70.77729011,0,0,-65,0,-65,0,0
7.5,-70.77532901,0,0,-65,0,-65,0,0
7.6,-70.77337255,0,0,-65,0,-65,0,0
7.7,-70.77142072,0,0,-65,0,-65,0,0
7.8,-70.76947353,0,0,-65,0,-65,0,0
7.9,-70.76753095,0,0,-65,0,-65,0,0
8,-70.76559298,0,0,-65,0,-65,0,0
8.1,-70.76365961,0,0,-65,0,-65,0,0
8.2,-70.76173083,0,0,-65,0,-65,0,0
8.3,-70.75980662,0,0,-65,0,-65,0,0
8.4,-70.75788699,0,0,-65,0,-65,0,0
8.5,-70.75597191,0,0,-65,0,-65,0,0
8.6,-70.75406139,0,0,-65,0,-65,0,0
8.7,-70.75215541,0,0,-65,0,-65,0,0
8.8,-70.75025396,0,0,-65,0,-65,0,0
8.9,-70.74835703,0,0,-65,0,-65,0,0
9,-70.74646462,0,0,-65,0,-65,0,0
9.1,-70.74457671,0,0,-65,0,-65,0,0
9.2,-70.74269329,0,0,-65,0,-65,0,0
9.3,-70.74081435,0,0,-65,0,-65,0,0
9.4,-70.7389399,0,0,-65,0,-65,0,0
9.5,-70.7370699,0,0,-65,0,-65,0,0
9.6,-70.73520437,0,0,-65,0,-65,0,0
9.7,-70.73334328,0,0,-65,0,-65,0,0
9.8,-70.73148663,0,0,-65,0,-65,0,0
9.9,-70.7296344,0,0,-65,0,-65,0,0
10,-70.7277866,0,0,-65,0,-65,0,0
10.1,-70.7259432,0,0,-65,0,-65,0,0
10.2,-70.7241042,0,0,-65,0,-65,0,0
10.3,-70.7222696,0,0,-65,0,-65,0,0
10.4,-70.72043938,0,0,-65,0,-65,0,0
10.5,-70.71861353,0,0,-65,0,-65,0,0
10.6,-70.71679204,0,0,-65,0,-65,0,0
10.7,-70.71497491,0,0,-65,0,-65,0,0
10.8,-70.71316212,0,0,-65,0,-65,0,0
10.9,-70.71135366,0,0,-65,0,-65,0,0
11,-70.70954954,0,0,-65,0,-65,0,0
11.1,-70.70774973,0,0,-65,0,-65,0,0
11.2,-70.70595423,0,0,-65,0,-65,0,0
11.3,-70.70416302,0,0,-65,0,-65,0,0
11.4,-70.70237611,0,0,-65,0,-65,0,0
11.5,-70.70059348,0,0,-65,0,-65,0,0
11.6,-70.69881512,0,0,-65,0,-65,0,0
11.7,-70.69704102,0,0,-65,0,-65,0,0
11.8,-70.69527118,0,0,-65,0,-65,0,0
11.9,-70.69350558,0,0,-65,0,-65,0,0
12,-70.69174421,0,0,-65,0,-65,0,0
12.1,-70.68998707,0,0,-65,0,-65,0,0
12.2,-70.68823415,0,0,-65,0,-65,0,0
12.3,-70.68648544,0,0,-65,0,-65,0,0
12.4,-70.68474093,0,0,-65,0,-65,0,0
12.5,-70.6830006,0,0,-65,0,-65,0,0
12.6,-70.68126446,0,0,-65,0,-65,0,0
12.7,-70.67953249,0,0,-65,0,-65,0,0
12.8,-70.67780468,0,0,-65,0,-65,0,0
12.9,-70.67608103,0,0,-65,0,-65,0,0
13,-70.67436153,0,0,-65,0,-65,0,0
13.1,-70.67264616,0,0,-65,0,-65,0,0
13.2,-70.67093492,0,0,-65,0,-65,0,0
13.3,-70.6692278,0,0,-65,0,-65,0,0
13.4,-70.66752479,0,0,-65,0,-65,0,0
13.5,-70.66582588,0,0,-65,0,-65,0,0
13.6,-70.66413106,0,0,-65,0,-65,0,0
13.7,-70.66244033,0,0,-65,0,-65,0,0
