Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-70.0010755,0,0,-65,0,-65,0,0
0.1,-70.0010726,0,0,-65,0,-65,0,0
0.2,-70.00106971,0,0,-65,0,-65,0,0
0.3,-70.00106682,0,0,-65,0,-65,0,0
0.4,-70.00106395,0,0,-65,0,-65,0,0
0.5,-70.00106108,0,0,-65,0,-65,0,0
0.6,-70.00105822,0,0,-65,0,-65,0,0
0.7,-70.00105537,0,0,-65,0,-65,0,0
0.8,-70.00105252,0,0,-65,0,-65,0,0
0.9,-70.00104968,0,0,-65,0,-65,0,0
1,-70.00104685,0,0,-65,0,-65,0,0
1.1,-70.00104403,0,0,-65,0,-65,0,0
1.2,-70.00104122,0,0,-65,0,-65,0,0
1.3,-70.00103841,0,0,-65,0,-65,0,0
1.4,-70.00103561,0,0,-65,0,-65,0,0
1.5,-70.00103282,0,0,-65,0,-65,0,0
1.6,-70.00103003,0,0,-65,0,-65,0,0
1.7,-70.00102726,0,0,-65,0,-65,0,0
1.8,-70.00102449,0,0,-65,0,-65,0,0
1.9,-70.00102173,0,0,-65,0,-65,0,0
2,-70.00101897,0,0,-65,0,-65,0,0
2.1,-70.00101622,0,0,-65,0,-65,0,0
2.2,-70.00101348,0,0,-65,0,-65,0,0
2.3,-70.00101075,0,0,-65,0,-65,0,0
2.4,-70.00100803,0,0,-65,0,-65,0,0
2.5,-70.00100531,0,0,-65,0,-65,0,0
2.6,-70.0010026,0,0,-65,0,-65,0,0
2.7,-70.0009999,0,0,-65,0,-65,0,0
2.8,-70.0009972,0,0,-65,0,-65,0,0
2.9,-70.00099451,0,0,-65,0,-65,0,0
3,-70.00099183,0,0,-65,0,-65,0,0
3.1,-70.00098916,0,0,-65,0,-65,0,0
3.2,-70.00098649,0,0,-65,0,-65,0,0
3.3,-70.00098383,0,0,-65,0,-65,0,0
3.4,-70.00098118,0,0,-65,0,-65,0,0
3.5,-70.00097853,0,0,-65,0,-65,0,0
3.6,-70.0009759,0,0,-65,0,-65,0,0
3.7,-70.00097327,0,0,-65,0,-65,0,0
3.8,-70.00097064,0,0,-65,0,-65,0,0
3.9,-70.00096802,0,0,-65,0,-65,0,0
4,-70.00096541,0,0,-65,0,-65,0,0
4.1,-70.00096281,0,0,-65,0,-65,0,0
4.2,-70.00096022,0,0,-65,0,-65,0,0
4.3,-70.00095763,0,0,-65,0,-65,0,0
4.4,-70.00095505,0,0,-65,0,-65,0,0
4.5,-70.00095247,0,0,-65,0,-65,0,0
4.6,-70.0009499,0,0,-65,0,-65,0,0
4.7,-70.00094734,0,0,-65,0,-65,0,0
4.8,-70.00094479,0,0,-65,0,-65,0,0
4.9,-70.00094224,0,0,-65,0,-65,0,0
5,-70.0009397,0,0,-65,0,-65,0,0
5.1,-70.00093717,0,0,-65,0,-65,0,0
5.2,-70.00093464,0,0,-65,0,-65,0,0
5.3,-70.00093212,0,0,-65,0,-65,0,0
5.4,-70.00092961,0,0,-65,0,-65,0,0
5.5,-70.0009271,0,0,-65,0,-65,0,0
5.6,-70.0009246,0,0,-65,0,-65,0,0
5.7,-70.00092211,0,0,-65,0,-65,0,0
5.8,-70.00091963,0,0,-65,0,-65,0,0
5.9,-70.00091715,0,0,-65,0,-65,0,0
6,-70.00091467,0,0,-65,0,-65,0,0
6.1,-70.00091221,0,0,-65,0,-65,0,0
6.2,-70.00090975,0,0,-65,0,-65,0,0
6.3,-70.0009073,0,0,-65,0,-65,0,0
6.4,-70.00090485,0,0,-65,0,-65,0,0
6.5,-70.00090241,0,0,-65,0,-65,0,0
6.6,-70.00089998,0,0,-65,0,-65,0,0
6.7,-70.00089755,0,0,-65,0,-65,0,0
6.8,-70.00089513,0,0,-65,0,-65,0,0
6.9,-70.00089272,0,0,-65,0,-65,0,0
7,-70.00089031,0,0,-65,0,-65,0,0
7.1,-70.00088791,0,0,-65,0,-65,0,0
7.2,-70.00088552,0,0,-65,0,-65,0,0
7.3,-70.00088313,0,0,-65,0,-65,0,0
7.4,-70.00088075,0,0,-65,0,-65,0,0
