Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-71.82900124,0,0,-65,0,-65,0,0
0.1,-71.82471909,0,0,-65,0,-65,0,0
0.2,-71.82044579,0,0,-65,0,-65,0,0
0.3,-71.81618133,0,0,-65,0,-65,0,0
0.4,-71.81192568,0,0,-65,0,-65,0,0
0.5,-71.80767883,0,0,-65,0,-65,0,0
0.6,-71.80344077,0,0,-65,0,-65,0,0
0.7,-71.79921149,0,0,-65,0,-65,0,0
0.8,-71.79499097,0,0,-65,0,-65,0,0
0.9,-71.7907792,0,0,-65,0,-65,0,0
1,-71.78657616,0,0,-65,0,-65,0,0
1.1,-71.78238184,0,0,-65,0,-65,0,0
1.2,-71.77819623,0,0,-65,0,-65,0,0
1.3,-71.77401931,0,0,-65,0,-65,0,0
1.4,-71.76985106,0,0,-65,0,-65,0,0
1.5,-71.76569149,0,0,-65,0,-65,0,0
1.6,-71.76154056,0,0,-65,0,-65,0,0
1.7,-71.75739827,0,0,-65,0,-65,0,0
1.8,-71.7532646,0,0,-65,0,-65,0,0
1.9,-71.74913954,0,0,-65,0,-65,0,0
2,-71.74502307,0,0,-65,0,-65,0,0
2.1,-71.74091519,0,0,-65,0,-65,0,0
2.2,-71.73681588,0,0,-65,0,-65,0,0
2.3,-71.73272512,0,0,-65,0,-65,0,0
2.4,-71.7286429,0,0,-65,0,-65,0,0
2.5,-71.7245692,0,0,-65,0,-65,0,0
2.6,-71.72050402,0,0,-65,0,-65,0,0
2.7,-71.71644734,0,0,-65,0,-65,0,0
2.8,-71.71239914,0,0,-65,0,-65,0,0
2.9,-71.70835942,0,0,-65,0,-65,0,0
3,-71.70432815,0,0,-65,0,-65,0,0
3.1,-71.70030533,0,0,-65,0,-65,0,0
3.2,-71.69629094,0,0,-65,0,-65,0,0
3.3,-71.69228496,0,0,-65,0,-65,0,0
3.4,-71.68828739,0,0,-65,0,-65,0,0
3.5,-71.6842982,0,0,-65,0,-65,0,0
3.6,-71.6803174,0,0,-65,0,-65,0,0
3.7,-71.67634495,0,0,-65,0,-65,0,0
3.8,-71.67238086,0,0,-65,0,-65,0,0
3.9,-71.6684251,0,0,-65,0,-65,0,0
4,-71.66447766,0,0,-65,0,-65,0,0
4.1,-71.66053852,0,0,-65,0,-65,0,0
4.2,-71.65660768,0,0,-65,0,-65,0,0
4.3,-71.65268513,0,0,-65,0,-65,0,0
4.4,-71.64877084,0,0,-65,0,-65,0,0
4.5,-71.6448648,0,0,-65,0,-65,0,0
4.6,-71.640967,0,0,-65,0,-65,0,0
4.7,-71.63707743,0,0,-65,0,-65,0,0
4.8,-71.63319607,0,0,-65,0,-65,0,0
4.9,-71.62932292,0,0,-65,0,-65,0,0
5,-71.62545794,0,0,-65,0,-65,0,0
5.1,-71.62160114,0,0,-65,0,-65,0,0
5.2,-71.6177525,0,0,-65,0,-65,0,0
5.3,-71.613912,0,0,-65,0,-65,0,0
5.4,-71.61007964,0,0,-65,0,-65,0,0
5.5,-71.60625539,0,0,-65,0,-65,0,0
5.6,-71.60243925,0,0,-65,0,-65,0,0
5.7,-71.5986312,0,0,-65,0,-65,0,0
5.8,-71.59483123,0,0,-65,0,-65,0,0
5.9,-71.59103932,0,0,-65,0,-65,0,0
6,-71.58725546,0,0,-65,0,-65,0,0
6.1,-71.58347965,0,0,-65,0,-65,0,0
6.2,-71.57971185,0,0,-65,0,-65,0,0
6.3,-71.57595207,0,0,-65,0,-65,0,0
6.4,-71.57220028,0,0,-65,0,-65,0,0
6.5,-71.56845648,0,0,-65,0,-65,0,0
6.6,-71.56472065,0,0,-65,0,-65,0,0
6.7,-71.56099278,0,0,-65,0,-65,0,0
6.8,-71.55727285,0,0,-65,0,-65,0,0
6.9,-71.55356085,0,0,-65,0,-65,0,0
7,-71.54985677,0,0,-65,0,-65,0,0
7.1,-71.54616059,0,0,-65,0,-65,0,0
7.2,-71.54247231,0,0,-65,0,-65,0,0
7.3,-71.5387919,0,0,-65,0,-65,0,0
7.4,-71.53511936,0,0,-65,0,-65,0,0
7.5,-71.53145467,0,0,-65,0,-65,0,0
7.6,-71.52779781,0,0,-65,0,-65,0,0
7.7,-71.52414878,0,0,-65,0,-65,0,0
7.8,-71.52050756,0,0,-65,0,-65,0,0
7.9,-71.51687414,0,0,-65,0,-65,0,0
8,-71.51324851,0,0,-65,0,-65,0,0
8.1,-71.50963064,0,0,-65,0,-65,0,0
8.2,-71.50602054,0,0,-65,0,-65,0,0
8.3,-71.50241818,0,0,-65,0,-65,0,0
8.4,-71.49882355,0,0,-65,0,-65,0,0
8.5,-71.49523665,0,0,-65,0,-65,0,0
8.6,-71.49165744,0,0,-65,0,-65,0,0
8.7,-71.48808593,0,0,-65,0,-65,0,0
8.8,-71.4845221,0,0,-65,0,-65,0,0
8.9,-71.48096594,0,0,-65,0,-65,0,0
9,-71.47741743,0,0,-65,0,-65,0,0
9.1,-71.47387656,0,0,-65,0,-65,0,0
9.2,-71.47034332,0,0,-65,0,-65,0,0
9.3,-71.46681769,0,0,-65,0,-65,0,0
9.4,-71.46329966,0,0,-65,0,-65,0,0
9.5,-71.45978923,0,0,-65,0,-65,0,0
9.6,-71.45628636,0,0,-65,0,-65,0,0
9.7,-71.45279106,0,0,-65,0,-65,0,0
9.8,-71.44930331,0,0,-65,0,-65,0,0
9.9,-71.44582309,0,0,-65,0,-65,0,0
10,-71.4423504,0,0,-65,0,-65,0,0
10.1,-71.43888521,0,0,-65,0,-65,0,0
10.2,-71.43542752,0,0,-65,0,-65,0,0
10.3,-71.43197732,0,0,-65,0,-65,0,0
10.4,-71.42853459,0,0,-65,0,-65,0,0
10.5,-71.42509932,0,0,-65,0,-65,0,0
10.6,-71.42167149,0,0,-65,0,-65,0,0
10.7,-71.41825109,0,0,-65,0,-65,0,0
10.8,-71.41483811,0,0,-65,0,-65,0,0
10.9,-71.41143254,0,0,-65,0,-65,0,0
11,-71.40803437,0,0,-65,0,-65,0,0
11.1,-71.40464357,0,0,-65,0,-65,0,0
11.2,-71.40126014,0,0,-65,0,-65,0,0
11.3,-71.39788407,0,0,-65,0,-65,0,0
11.4,-71.39451534,0,0,-65,0,-65,0,0
11.5,-71.39115394,0,0,-65,0,-65,0,0
11.6,-71.38779985,0,0,-65,0,-65,0,0
11.7,-71.38445307,0,0,-65,0,-65,0,0
11.8,-71.38111358,0,0,-65,0,-65,0,0
11.9,-71.37778137,0,0,-65,0,-65,0,0
12,-71.37445642,0,0,-65,0,-65,0,0
12.1,-71.37113873,0,0,-65,0,-65,0,0
12.2,-71.36782827,0,0,-65,0,-65,0,0
12.3,-71.36452504,0,0,-65,0,-65,0,0
12.4,-71.36122903,0,0,-65,0,-65,0,0
12.5,-71.35794022,0,0,-65,0,-65,0,0
12.6,-71.3546586,0,0,-65,0,-65,0,0
12.7,-71.35138415,0,0,-65,0,-65,0,0
12.8,-71.34811687,0,0,-65,0,-65,0,0
12.9,-71.34485674,0,0,-65,0,-65,0,0
13,-71.34160375,0,0,-65,0,-65,0,0
13.1,-71.33835788,0,0,-65,0,-65,0,0
13.2,-71.33511912,0,0,-65,0,-65,0,0
13.3,-71.33188747,0,0,-65,0,-65,0,0
13.4,-71.3286629,0,0,-65,0,-65,0,0
13.5,-71.32544541,0,0,-65,0,-65,0,0
13.6,-71.32223498,0,0,-65,0,-65,0,0
13.7,-71.31903161,0,0,-65,0,-65,0,0
13.8,-71.31583526,0,0,-65,0,-65,0,0
13.9,-71.31264595,0,0,-65,0,-65,0,0
14,-71.30946364,0,0,-65,0,-65,0,0
14.1,-71.30628834,0,0,-65,0,-65,0,0
14.2,-71.30312002,0,0,-65,0,-65,0,0
14.3,-71.29995868,0,0,-65,0,-65,0,0
14.4,-71.2968043,0,0,-65,0,-65,0,0
14.5,-71.29365687,0,0,-65,0,-65,0,0
14.6,-71.29051638,0,0,-65,0,-65,0,0
14.7,-71.28738281,0,0,-65,0,-65,0,0
14.8,-71.28425616,0,0,-65,0,-65,0,0
14.9,-71.28113641,0,0,-65,0,-65,0,0
15,-71.27802354,0,0,-65,0,-65,0,0
15.1,-71.27491755,0,0,-65,0,-65,0,0
15.2,-71.27181842,0,0,-65,0,-65,0,0
15.3,-71.26872614,0,0,-65,0,-65,0,0
15.4,-71.2656407,0,0,-65,0,-65,0,0
15.5,-71.26256209,0,0,-65,0,-65,0,0
15.6,-71.25949028,0,0,-65,0,-65,0,0
15.7,-71.25642528,0,0,-65,0,-65,0,0
15.8,-71.25336707,0,0,-65,0,-65,0,0
15.9,-71.25031564,0,0,-65,0,-65,0,0
16,-71.24727097,0,0,-65,0,-65,0,0
16.1,-71.24423305,0,0,-65,0,-65,0,0
16.2,-71.24120187,0,0,-65,0,-65,0,0
16.3,-71.23817742,0,0,-65,0,-65,0,0
16.4,-71.23515968,0,0,-65,0,-65,0,0
16.5,-71.23214865,0,0,-65,0,-65,0,0
16.6,-71.2291443,0,0,-65,0,-65,0,0
16.7,-71.22614664,0,0,-65,0,-65,0,0
16.8,-71.22315564,0,0,-65,0,-65,0,0
16.9,-71.2201713,0,0,-65,0,-65,0,0
17,-71.21719359,0,0,-65,0,-65,0,0
17.1,-71.21422252,0,0,-65,0,-65,0,0
17.2,-71.21125806,0,0,-65,0,-65,0,0
17.3,-71.20830021,0,0,-65,0,-65,0,0
17.4,-71.20534896,0,0,-65,0,-65,0,0
17.5,-71.20240428,0,0,-65,0,-65,0,0
17.6,-71.19946618,0,0,-65,0,-65,0,0
17.7,-71.19653463,0,0,-65,0,-65,0,0
17.8,-71.19360962,0,0,-65,0,-65,0,0
17.9,-71.19069115,0,0,-65,0,-65,0,0
18,-71.1877792,0,0,-65,0,-65,0,0
18.1,-71.18487376,0,0,-65,0,-65,0,0
18.2,-71.18197481,0,0,-65,0,-65,0,0
18.3,-71.17908235,0,0,-65,0,-65,0,0
18.4,-71.17619637,0,0,-65,0,-65,0,0
18.5,-71.17331684,0,0,-65,0,-65,0,0
18.6,-71.17044376,0,0,-65,0,-65,0,0
18.7,-71.16757712,0,0,-65,0,-65,0,0
18.8,-71.16471691,0,0,-65,0,-65,0,0
18.9,-71.1618631,0,0,-65,0,-65,0,0
19,-71.1590157,0,0,-65,0,-65,0,0
19.1,-71.15617469,0,0,-65,0,-65,0,0
19.2,-71.15334005,0,0,-65,0,-65,0,0
19.3,-71.15051178,0,0,-65,0,-65,0,0
19.4,-71.14768987,0,0,-65,0,-65,0,0
19.5,-71.14487429,0,0,-65,0,-65,0,0
19.6,-71.14206505,0,0,-65,0,-65,0,0
19.7,-71.13926212,0,0,-65,0,-65,0,0
19.8,-71.1364655,0,0,-65,0,-65,0,0
19.9,-71.13367517,0,0,-65,0,-65,0,0
20,-71.13089113,0,0,-65,0,-65,0,0
20.1,-71.12811336,0,0,-65,0,-65,0,0
20.2,-71.12534185,0,0,-65,0,-65,0,0
20.3,-71.12257658,0,0,-65,0,-65,0,0
20.4,-71.11981755,0,0,-65,0,-65,0,0
20.5,-71.11706474,0,0,-65,0,-65,0,0
20.6,-71.11431815,0,0,-65,0,-65,0,0
20.7,-71.11157775,0,0,-65,0,-65,0,0
20.8,-71.10884355,0,0,-65,0,-65,0,0
20.9,-71.10611552,0,0,-65,0,-65,0,0
21,-71.10339366,0,0,-65,0,-65,0,0
21.1,-71.10067795,0,0,-65,0,-65,0,0
21.2,-71.09796838,0,0,-65,0,-65,0,0
