Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-71.17933599,0,0,-65,0,-65,0,0
0.1,-71.17644943,0,0,-65,0,-65,0,0
0.2,-71.17356934,0,0,-65,0,-65,0,0
0.3,-71.1706957,0,0,-65,0,-65,0,0
0.4,-71.16782849,0,0,-65,0,-65,0,0
0.5,-71.16496771,0,0,-65,0,-65,0,0
0.6,-71.16211335,0,0,-65,0,-65,0,0
0.7,-71.15926538,0,0,-65,0,-65,0,0
0.8,-71.15642381,0,0,-65,0,-65,0,0
0.9,-71.15358862,0,0,-65,0,-65,0,0
1,-71.15075979,0,0,-65,0,-65,0,0
1.1,-71.14793732,0,0,-65,0,-65,0,0
1.2,-71.14512118,0,0,-65,0,-65,0,0
1.3,-71.14231138,0,0,-65,0,-65,0,0
1.4,-71.1395079,0,0,-65,0,-65,0,0
1.5,-71.13671073,0,0,-65,0,-65,0,0
1.6,-71.13391985,0,0,-65,0,-65,0,0
1.7,-71.13113526,0,0,-65,0,-65,0,0
1.8,-71.12835694,0,0,-65,0,-65,0,0
1.9,-71.12558487,0,0,-65,0,-65,0,0
2,-71.12281906,0,0,-65,0,-65,0,0
2.1,-71.12005948,0,0,-65,0,-65,0,0
2.2,-71.11730613,0,0,-65,0,-65,0,0
2.3,-71.11455899,0,0,-65,0,-65,0,0
2.4,-71.11181805,0,0,-65,0,-65,0,0
2.5,-71.10908331,0,0,-65,0,-65,0,0
2.6,-71.10635474,0,0,-65,0,-65,0,0
2.7,-71.10363233,0,0,-65,0,-65,0,0
2.8,-71.10091608,0,0,-65,0,-65,0,0
2.9,-71.09820598,0,0,-65,0,-65,0,0
3,-71.09550201,0,0,-65,0,-65,0,0
3.1,-71.09280415,0,0,-65,0,-65,0,0
3.2,-71.09011241,0,0,-65,0,-65,0,0
3.3,-71.08742676,0,0,-65,0,-65,0,0
3.4,-71.0847472,0,0,-65,0,-65,0,0
3.5,-71.08207371,0,0,-65,0,-65,0,0
3.6,-71.07940628,0,0,-65,0,-65,0,0
3.7,-71.0767449,0,0,-65,0,-65,0,0
3.8,-71.07408957,0,0,-65,0,-65,0,0
3.9,-71.07144026,0,0,-65,0,-65,0,0
4,-71.06879696,0,0,-65,0,-65,0,0
4.1,-71.06615968,0,0,-65,0,-65,0,0
4.2,-71.06352838,0,0,-65,0,-65,0,0
4.3,-71.06090307,0,0,-65,0,-65,0,0
4.4,-71.05828372,0,0,-65,0,-65,0,0
4.5,-71.05567034,0,0,-65,0,-65,0,0
4.6,-71.0530629,0,0,-65,0,-65,0,0
4.7,-71.0504614,0,0,-65,0,-65,0,0
4.8,-71.04786583,0,0,-65,0,-65,0,0
4.9,-71.04527616,0,0,-65,0,-65,0,0
5,-71.0426924,0,0,-65,0,-65,0,0
5.1,-71.04011454,0,0,-65,0,-65,0,0
5.2,-71.03754254,0,0,-65,0,-65,0,0
5.3,-71.03497642,0,0,-65,0,-65,0,0
5.4,-71.03241616,0,0,-65,0,-65,0,0
5.5,-71.02986174,0,0,-65,0,-65,0,0
5.6,-71.02731315,0,0,-65,0,-65,0,0
5.7,-71.02477039,0,0,-65,0,-65,0,0
5.8,-71.02223344,0,0,-65,0,-65,0,0
5.9,-71.01970229,0,0,-65,0,-65,0,0
6,-71.01717693,0,0,-65,0,-65,0,0
6.1,-71.01465734,0,0,-65,0,-65,0,0
6.2,-71.01214353,0,0,-65,0,-65,0,0
6.3,-71.00963547,0,0,-65,0,-65,0,0
6.4,-71.00713315,0,0,-65,0,-65,0,0
6.5,-71.00463657,0,0,-65,0,-65,0,0
6.6,-71.00214571,0,0,-65,0,-65,0,0
6.7,-70.99966056,0,0,-65,0,-65,0,0
6.8,-70.99718111,0,0,-65,0,-65,0,0
6.9,-70.99470735,0,0,-65,0,-65,0,0
7,-70.99223927,0,0,-65,0,-65,0,0
7.1,-70.98977686,0,0,-65,0,-65,0,0
7.2,-70.9873201,0,0,-65,0,-65,0,0
7.3,-70.98486898,0,0,-65,0,-65,0,0
7.4,-70.9824235,0,0,-65,0,-65,0,0
7.5,-70.97998365,0,0,-65,0,-65,0,0
7.6,-70.9775494,0,0,-65,0,-65,0,0
7.7,-70.97512076,0,0,-65,0,-65,0,0
7.8,-70.9726977,0,0,-65,0,-65,0,0
7.9,-70.97028022,0,0,-65,0,-65,0,0
8,-70.96786831,0,0,-65,0,-65,0,0
8.1,-70.96546196,0,0,-65,0,-65,0,0
8.2,-70.96306116,0,0,-65,0,-65,0,0
