Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-70.00019702,0,0,-65,0,-65,0,0
0.1,-70.00019649,0,0,-65,0,-65,0,0
0.2,-70.00019596,0,0,-65,0,-65,0,0
0.3,-70.00019543,0,0,-65,0,-65,0,0
0.4,-70.0001949,0,0,-65,0,-65,0,0
0.5,-70.00019437,0,0,-65,0,-65,0,0
0.6,-70.00019385,0,0,-65,0,-65,0,0
0.7,-70.00019333,0,0,-65,0,-65,0,0
0.8,-70.00019281,0,0,-65,0,-65,0,0
0.9,-70.00019229,0,0,-65,0,-65,0,0
1,-70.00019177,0,0,-65,0,-65,0,0
1.1,-70.00019125,0,0,-65,0,-65,0,0
1.2,-70.00019074,0,0,-65,0,-65,0,0
1.3,-70.00019022,0,0,-65,0,-65,0,0
1.4,-70.00018971,0,0,-65,0,-65,0,0
1.5,-70.0001892,0,0,-65,0,-65,0,0
1.6,-70.00018869,0,0,-65,0,-65,0,0
1.7,-70.00018818,0,0,-65,0,-65,0,0
1.8,-70.00018767,0,0,-65,0,-65,0,0
1.9,-70.00018717,0,0,-65,0,-65,0,0
2,-70.00018666,0,0,-65,0,-65,0,0
2.1,-70.00018616,0,0,-65,0,-65,0,0
2.2,-70.00018566,0,0,-65,0,-65,0,0
2.3,-70.00018516,0,0,-65,0,-65,0,0
2.4,-70.00018466,0,0,-65,0,-65,0,0
2.5,-70.00018416,0,0,-65,0,-65,0,0
2.6,-70.00018366,0,0,-65,0,-65,0,0
2.7,-70.00018317,0,0,-65,0,-65,0,0
2.8,-70.00018267,0,0,-65,0,-65,0,0
2.9,-70.00018218,0,0,-65,0,-65,0,0
3,-70.00018169,0,0,-65,0,-65,0,0
3.1,-70.0001812,0,0,-65,0,-65,0,0
3.2,-70.00018071,0,0,-65,0,-65,0,0
3.3,-70.00018022,0,0,-65,0,-65,0,0
3.4,-70.00017974,0,0,-65,0,-65,0,0
3.5,-70.00017925,0,0,-65,0,-65,0,0
3.6,-70.00017877,0,0,-65,0,-65,0,0
3.7,-70.00017829,0,0,-65,0,-65,0,0
3.8,-70.00017781,0,0,-65,0,-65,0,0
3.9,-70.00017733,0,0,-65,0,-65,0,0
4,-70.00017685,0,0,-65,0,-65,0,0
4.1,-70.00017637,0,0,-65,0,-65,0,0
4.2,-70.0001759,0,0,-65,0,-65,0,0
4.3,-70.00017542,0,0,-65,0,-65,0,0
4.4,-70.00017495,0,0,-65,0,-65,0,0
4.5,-70.00017448,0,0,-65,0,-65,0,0
4.6,-70.00017401,0,0,-65,0,-65,0,0
4.7,-70.00017354,0,0,-65,0,-65,0,0
4.8,-70.00017307,0,0,-65,0,-65,0,0
4.9,-70.0001726,0,0,-65,0,-65,0,0
5,-70.00017214,0,0,-65,0,-65,0,0
5.1,-70.00017167,0,0,-65,0,-65,0,0
5.2,-70.00017121,0,0,-65,0,-65,0,0
5.3,-70.00017075,0,0,-65,0,-65,0,0
5.4,-70.00017029,0,0,-65,0,-65,0,0
5.5,-70.00016983,0,0,-65,0,-65,0,0
5.6,-70.00016937,0,0,-65,0,-65,0,0
5.7,-70.00016892,0,0,-65,0,-65,0,0
5.8,-70.00016846,0,0,-65,0,-65,0,0
5.9,-70.00016801,0,0,-65,0,-65,0,0
6,-70.00016755,0,0,-65,0,-65,0,0
6.1,-70.0001671,0,0,-65,0,-65,0,0
6.2,-70.00016665,0,0,-65,0,-65,0,0
6.3,-70.0001662,0,0,-65,0,-65,0,0
6.4,-70.00016575,0,0,-65,0,-65,0,0
6.5,-70.00016531,0,0,-65,0,-65,0,0
6.6,-70.00016486,0,0,-65,0,-65,0,0
6.7,-70.00016442,0,0,-65,0,-65,0,0
6.8,-70.00016397,0,0,-65,0,-65,0,0
6.9,-70.00016353,0,0,-65,0,-65,0,0
7,-70.00016309,0,0,-65,0,-65,0,0
7.1,-70.00016265,0,0,-65,0,-65,0,0
7.2,-70.00016221,0,0,-65,0,-65,0,0
7.3,-70.00016177,0,0,-65,0,-65,0,0
7.4,-70.00016134,0,0,-65,0,-65,0,0
7.5,-70.0001609,0,0,-65,0,-65,0,0
7.6,-70.00016047,0,0,-65,0,-65,0,0
7.7,-70.00016004,0,0,-65,0,-65,0,0
7.8,-70.00015961,0,0,-65,0,-65,0,0
7.9,-70.00015918,0,0,-65,0,-65,0,0
8,-70.00015875,0,0,-65,0,-65,0,0
8.1,-70.00015832,0,0,-65,0,-65,0,0
8.2,-70.00015789,0,0,-65,0,-65,0,0
8.3,-70.00015747,0,0,-65,0,-65,0,0
8.4,-70.00015704,0,0,-65,0,-65,0,0
8.5,-70.00015662,0,0,-65,0,-65,0,0
8.6,-70.0001562,0,0,-65,0,-65,0,0
8.7,-70.00015577,0,0,-65,0,-65,0,0
8.8,-70.00015535,0,0,-65,0,-65,0,0
8.9,-70.00015494,0,0,-65,0,-65,0,0
9,-70.00015452,0,0,-65,0,-65,0,0
9.1,-70.0001541,0,0,-65,0,-65,0,0
9.2,-70.00015369,0,0,-65,0,-65,0,0
9.3,-70.00015327,0,0,-65,0,-65,0,0
9.4,-70.00015286,0,0,-65,0,-65,0,0
9.5,-70.00015245,0,0,-65,0,-65,0,0
9.6,-70.00015204,0,0,-65,0,-65,0,0
9.7,-70.00015163,0,0,-65,0,-65,0,0
9.8,-70.00015122,0,0,-65,0,-65,0,0
9.9,-70.00015081,0,0,-65,0,-65,0,0
10,-70.0001504,0,0,-65,0,-65,0,0
10.1,-70.00015,0,0,-65,0,-65,0,0
10.2,-70.00014959,0,0,-65,0,-65,0,0
10.3,-70.00014919,0,0,-65,0,-65,0,0
10.4,-70.00014879,0,0,-65,0,-65,0,0
10.5,-70.00014839,0,0,-65,0,-65,0,0
10.6,-70.00014799,0,0,-65,0,-65,0,0
10.7,-70.00014759,0,0,-65,0,-65,0,0
10.8,-70.00014719,0,0,-65,0,-65,0,0
10.9,-70.00014679,0,0,-65,0,-65,0,0
11,-70.0001464,0,0,-65,0,-65,0,0
11.1,-70.000146,0,0,-65,0,-65,0,0
11.2,-70.00014561,0,0,-65,0,-65,0,0
11.3,-70.00014522,0,0,-65,0,-65,0,0
11.4,-70.00014482,0,0,-65,0,-65,0,0
11.5,-70.00014443,0,0,-65,0,-65,0,0
11.6,-70.00014404,0,0,-65,0,-65,0,0
11.7,-70.00014366,0,0,-65,0,-65,0,0
11.8,-70.00014327,0,0,-65,0,-65,0,0
11.9,-70.00014288,0,0,-65,0,-65,0,0
12,-70.0001425,0,0,-65,0,-65,0,0
12.1,-70.00014211,0,0,-65,0,-65,0,0
12.2,-70.00014173,0,0,-65,0,-65,0,0
12.3,-70.00014135,0,0,-65,0,-65,0,0
12.4,-70.00014097,0,0,-65,0,-65,0,0
12.5,-70.00014059,0,0,-65,0,-65,0,0
12.6,-70.00014021,0,0,-65,0,-65,0,0
12.7,-70.00013983,0,0,-65,0,-65,0,0
12.8,-70.00013945,0,0,-65,0,-65,0,0
12.9,-70.00013908,0,0,-65,0,-65,0,0
13,-70.0001387,0,0,-65,0,-65,0,0
13.1,-70.00013833,0,0,-65,0,-65,0,0
13.2,-70.00013795,0,0,-65,0,-65,0,0
13.3,-70.00013758,0,0,-65,0,-65,0,0
13.4,-70.00013721,0,0,-65,0,-65,0,0
13.5,-70.00013684,0,0,-65,0,-65,0,0
13.6,-70.00013647,0,0,-65,0,-65,0,0
13.7,-70.0001361,0,0,-65,0,-65,0,0
13.8,-70.00013574,0,0,-65,0,-65,0,0
13.9,-70.00013537,0,0,-65,0,-65,0,0
14,-70.00013501,0,0,-65,0,-65,0,0
14.1,-70.00013464,0,0,-65,0,-65,0,0
14.2,-70.00013428,0,0,-65,0,-65,0,0
14.3,-70.00013392,0,0,-65,0,-65,0,0
14.4,-70.00013356,0,0,-65,0,-65,0,0
14.5,-70.0001332,0,0,-65,0,-65,0,0
14.6,-70.00013284,0,0,-65,0,-65,0,0
14.7,-70.00013248,0,0,-65,0,-65,0,0
14.8,-70.00013212,0,0,-65,0,-65,0,0
14.9,-70.00013177,0,0,-65,0,-65,0,0
15,-70.00013141,0,0,-65,0,-65,0,0
15.1,-70.00013106,0,0,-65,0,-65,0,0
15.2,-70.0001307,0,0,-65,0,-65,0,0
15.3,-70.00013035,0,0,-65,0,-65,0,0
15.4,-70.00013,0,0,-65,0,-65,0,0
15.5,-70.00012965,0,0,-65,0,-65,0,0
15.6,-70.0001293,0,0,-65,0,-65,0,0
15.7,-70.00012895,0,0,-65,0,-65,0,0
15.8,-70.0001286,0,0,-65,0,-65,0,0
15.9,-70.00012826,0,0,-65,0,-65,0,0
16,-70.00012791,0,0,-65,0,-65,0,0
16.1,-70.00012757,0,0,-65,0,-65,0,0
16.2,-70.00012722,0,0,-65,0,-65,0,0
16.3,-70.00012688,0,0,-65,0,-65,0,0
16.4,-70.00012654,0,0,-65,0,-65,0,0
16.5,-70.0001262,0,0,-65,0,-65,0,0
16.6,-70.00012585,0,0,-65,0,-65,0,0
16.7,-70.00012552,0,0,-65,0,-65,0,0
16.8,-70.00012518,0,0,-65,0,-65,0,0
16.9,-70.00012484,0,0,-65,0,-65,0,0
17,-70.0001245,0,0,-65,0,-65,0,0
17.1,-70.00012417,0,0,-65,0,-65,0,0
17.2,-70.00012383,0,0,-65,0,-65,0,0
17.3,-70.0001235,0,0,-65,0,-65,0,0
17.4,-70.00012317,0,0,-65,0,-65,0,0
17.5,-70.00012283,0,0,-65,0,-65,0,0
17.6,-70.0001225,0,0,-65,0,-65,0,0
17.7,-70.00012217,0,0,-65,0,-65,0,0
17.8,-70.00012184,0,0,-65,0,-65,0,0
17.9,-70.00012151,0,0,-65,0,-65,0,0
18,-70.00012119,0,0,-65,0,-65,0,0
18.1,-70.00012086,0,0,-65,0,-65,0,0
18.2,-70.00012053,0,0,-65,0,-65,0,0
18.3,-70.00012021,0,0,-65,0,-65,0,0
18.4,-70.00011989,0,0,-65,0,-65,0,0
18.5,-70.00011956,0,0,-65,0,-65,0,0
18.6,-70.00011924,0,0,-65,0,-65,0,0
18.7,-70.00011892,0,0,-65,0,-65,0,0
18.8,-70.0001186,0,0,-65,0,-65,0,0
18.9,-70.00011828,0,0,-65,0,-65,0,0
19,-70.00011796,0,0,-65,0,-65,0,0
19.1,-70.00011764,0,0,-65,0,-65,0,0
19.2,-70.00011732,0,0,-65,0,-65,0,0
19.3,-70.00011701,0,0,-65,0,-65,0,0
19.4,-70.00011669,0,0,-65,0,-65,0,0
19.5,-70.00011638,0,0,-65,0,-65,0,0
