Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
0,-71.97855751,0,1,-65,0,-65,0,0
0.1,-71.89508052,0,-2,-65,0,-65,0,0
0.2,-72.11752801,0,3,-65,0,-65,0,0
0.3,-71.82267253,0,1,-65,0,-65,0,0
0.4,-71.74978236,0,2,-65,0,-65,0,0
0.5,-71.58193768,0,2,-65,0,-65,0,0
0.6,-71.42603848,0,-3,-65,0,-65,0,0
0.7,-71.78101389,0,-1,-65,0,-65,0,0
0.8,-71.9097685,0,0,-65,0,-65,0,0
0.9,-71.92852401,0,0,-65,0,-65,0,0
1,-71.94549324,0,-2,-65,0,-65,0,0
1.1,-72.16080841,0,3,-65,0,-65,0,0
1.2,-71.85928728,0,1,-65,0,-65,0,0
1.3,-71.78033802,0,-2,-65,0,-65,0,0
1.4,-72.006911,0,-2,-65,0,-65,0,0
1.5,-72.21608484,0,3,-65,0,-65,0,0
1.6,-71.90879484,0,2,-65,0,-65,0,0
1.7,-71.72464539,0,3,-65,0,-65,0,0
1.8,-71.4538624,0,2,-65,0,-65,0,0
1.9,-71.30242179,0,-2,-65,0,-65,0,0
2,-71.56139669,0,-2,-65,0,-65,0,0
2.1,-71.80151619,0,2,-65,0,-65,0,0
2.2,-71.62363935,0,0,-65,0,-65,0,0
2.3,-71.6585208,0,0,-65,0,-65,0,0
2.4,-71.6904994,0,1,-65,0,-65,0,0
2.5,-71.61977828,0,-1,-65,0,-65,0,0
2.6,-71.75388778,0,2,-65,0,-65,0,0
2.7,-71.57778722,0,-1,-65,0,-65,0,0
2.8,-71.71425354,0,0,-65,0,-65,0,0
2.9,-71.74038412,0,-3,-65,0,-65,0,0
3,-72.06423468,0,3,-65,0,-65,0,0
3.1,-71.76336235,0,-3,-65,0,-65,0,0
3.2,-72.08479824,0,-1,-65,0,-65,0,0
3.3,-72.18163749,0,2,-65,0,-65,0,0
3.4,-71.97064786,0,-3,-65,0,-65,0,0
3.5,-72.27546525,0,0,-65,0,-65,0,0
3.6,-72.25644824,0,-3,-65,0,-65,0,0
3.7,-72.53855028,0,-2,-65,0,-65,0,0
3.8,-72.69793823,0,-3,-65,0,-65,0,0
3.9,-72.94404149,0,1,-65,0,-65,0,0
4,-72.76943257,0,0,-65,0,-65,0,0
4.1,-72.7089065,0,-2,-65,0,-65,0,0
4.2,-72.85295732,0,1,-65,0,-65,0,0
4.3,-72.68477434,0,2,-65,0,-65,0,0
4.4,-72.43002925,0,-2,-65,0,-65,0,0
4.5,-72.59541321,0,0,-65,0,-65,0,0
4.6,-72.54717618,0,-1,-65,0,-65,0,0
4.7,-72.60245488,0,-3,-65,0,-65,0,0
4.8,-72.85290598,0,1,-65,0,-65,0,0
4.9,-72.68248331,0,-3,-65,0,-65,0,0
5,-72.92568551,0,0,-65,0,-65,0,0
5.1,-72.848457,0,2,-65,0,-65,0,0
5.2,-72.57726688,0,-2,-65,0,-65,0,0
5.3,-72.72786634,0,-3,-65,0,-65,0,0
5.4,-72.96586131,0,1,-65,0,-65,0,0
5.5,-72.78377477,0,0,-65,0,-65,0,0
5.6,-72.7164277,0,2,-65,0,-65,0,0
5.7,-72.45423312,0,-1,-65,0,-65,0,0
5.8,-72.51283432,0,2,-65,0,-65,0,0
5.9,-72.26639473,0,1,-65,0,-65,0,0
6,-72.13910285,0,3,-65,0,-65,0,0
6.1,-71.82134758,0,2,-65,0,-65,0,0
6.2,-71.6273608,0,-2,-65,0,-65,0,0
6.3,-71.84736702,0,0,-65,0,-65,0,0
6.4,-71.85078464,0,-3,-65,0,-65,0,0
6.5,-72.1536168,0,2,-65,0,-65,0,0
6.6,-71.93308707,0,0,-65,0,-65,0,0
6.7,-71.92906229,0,-3,-65,0,-65,0,0
6.8,-72.22501019,0,0,-65,0,-65,0,0
6.9,-72.1979415,0,-1,-65,0,-65,0,0
7,-72.27263545,0,-1,-65,0,-65,0,0
7.1,-72.34116936,0,-1,-65,0,-65,0,0
7.2,-72.40398168,0,-3,-65,0,-65,0,0
7.3,-72.66148648,0,-2,-65,0,-65,0,0
7.4,-72.79796727,0,-3,-65,0,-65,0,0
7.5,-73.02291785,0,3,-65,0,-65,0,0
7.6,-72.62876455,0,3,-65,0,-65,0,0
7.7,-72.26681826,0,-2,-65,0,-65,0,0
7.8,-72.43333899,0,-3,-65,0,-65,0,0
7.9,-72.68639428,0,-1,-65,0,-65,0,0
8,-72.71873101,0,3,-65,0,-65,0,0
8.1,-72.34807488,0,2,-65,0,-65,0,0
8.2,-72.1068323,0,1,-65,0,-65,0,0
8.3,-71.98403546,0,3,-65,0,-65,0,0
8.4,-71.67029371,0,2,-65,0,-65,0,0
8.5,-71.47965363,0,2,-65,0,-65,0,0
8.6,-71.30255332,0,0,-65,0,-65,0,0
8.7,-71.33775697,0,3,-65,0,-65,0,0
8.8,-71.07018281,0,-3,-65,0,-65,0,0
8.9,-71.4209578,0,-3,-65,0,-65,0,0
9,-71.74689501,0,-1,-65,0,-65,0,0
9.1,-71.84883747,0,-3,-65,0,-65,0,0
9.2,-72.14288528,0,1,-65,0,-65,0,0
9.3,-72.01427218,0,-2,-65,0,-65,0,0
9.4,-72.19519729,0,-2,-65,0,-65,0,0
9.5,-72.36189667,0,1,-65,0,-65,0,0
9.6,-72.21522558,0,-1,-65,0,-65,0,0
9.7,-72.27971676,0,3,-65,0,-65,0,0
9.8,-71.93885368,0,2,-65,0,-65,0,0
9.9,-71.72388323,0,-1,-65,0,-65,0,0
10,-71.82465878,0,-2,-65,0,-65,0,0
10.1,-72.01765219,0,2,-65,0,-65,0,0
10.2,-71.79578755,0,0,-65,0,-65,0,0
10.3,-71.79031627,0,1,-65,0,-65,0,0
10.4,-71.68494978,0,2,-65,0,-65,0,0
10.5,-71.48707285,0,-2,-65,0,-65,0,0
10.6,-71.70329057,0,-3,-65,0,-65,0,0
10.7,-72.00347927,0,0,-65,0,-65,0,0
10.8,-71.98089761,0,-2,-65,0,-65,0,0
10.9,-72.15972414,0,-1,-65,0,-65,0,0
11,-72.22454613,0,0,-65,0,-65,0,0
11.1,-72.1840269,0,3,-65,0,-65,0,0
11.2,-71.8463405,0,1,-65,0,-65,0,0
11.3,-71.73406055,0,-3,-65,0,-65,0,0
11.4,-72.0298318,0,-1,-65,0,-65,0,0
11.5,-72.10309889,0,-3,-65,0,-65,0,0
11.6,-72.37045152,0,-1,-65,0,-65,0,0
11.7,-72.41666166,0,-3,-65,0,-65,0,0
11.8,-72.65889584,0,2,-65,0,-65,0,0
11.9,-72.38135052,0,1,-65,0,-65,0,0
12,-72.22573773,0,-1,-65,0,-65,0,0
12.1,-72.28202046,0,3,-65,0,-65,0,0
12.2,-71.93360082,0,-3,-65,0,-65,0,0
12.3,-72.21166558,0,1,-65,0,-65,0,0
12.4,-72.0681293,0,3,-65,0,-65,0,0
12.5,-71.73536223,0,-1,-65,0,-65,0,0
12.6,-71.82733763,0,-2,-65,0,-65,0,0
12.7,-72.01219439,0,-1,-65,0,-65,0,0
12.8,-72.08282451,0,-1,-65,0,-65,0,0
12.9,-72.14776146,0,0,-65,0,-65,0,0
13,-72.10740288,0,3,-65,0,-65,0,0
13.1,-71.76985453,0,3,-65,0,-65,0,0
13.2,-71.45751001,0,3,-65,0,-65,0,0
13.3,-71.16766731,0,0,-65,0,-65,0,0
13.4,-71.19799981,0,-3,-65,0,-65,0,0
13.5,-71.52596572,0,1,-65,0,-65,0,0
